,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2,3,2012-11-03,32-363,LAC,L (-4),GSW,0,9:59,1,5,.200,0,0,,0,0,,0,1,1,0,0,0,1,4,2,-3.4,-4
3,4,2012-11-05,32-365,LAC,L (-7),CLE,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,2,2,-1.8,+5
4,5,2012-11-07,33-001,LAC,W (+22),SAS,0,9:56,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,1,1,2,0,-1.9,-4
5,6,2012-11-08,33-002,LAC,W (+13),POR,0,6:01,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.8,+6
6,7,2012-11-11,33-005,LAC,W (+13),ATL,0,11:29,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,0.3,-2
7,8,2012-11-14,33-008,LAC,W (+7),MIA,0,16:12,0,0,,0,0,,0,0,,0,3,3,1,2,0,0,1,0,3.2,+3
8,9,2012-11-17,33-011,LAC,W (+21),CHI,0,14:58,1,6,.167,1,4,.250,0,0,,1,4,5,1,0,0,2,0,3,-0.2,+5
9,10,2012-11-19,33-013,LAC,W (+5),SAS,0,13:36,1,3,.333,0,1,.000,0,0,,0,4,4,1,0,0,0,0,2,2.2,+8
10,11,2012-11-21,33-015,LAC,L (-6),OKC,0,16:42,2,6,.333,0,1,.000,0,2,.000,3,5,8,1,1,0,0,4,4,3.5,+6
11,12,2012-11-23,33-017,LAC,L (-10),BRK,0,5:30,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,2,0,-0.5,-1
12,13,2012-11-24,33-018,LAC,L (-11),ATL,0,16:11,0,2,.000,0,2,.000,0,0,,0,2,2,2,1,0,0,3,0,0.4,-3
13,14,2012-11-26,33-020,LAC,L (-7),NOH,0,19:18,0,0,,0,0,,0,0,,0,2,2,0,3,0,0,3,0,2.4,-3
14,15,2012-11-28,33-022,LAC,W (+6),MIN,0,15:35,2,4,.500,0,0,,0,0,,1,4,5,1,0,0,1,1,4,3.2,-5
15,16,2012-12-01,33-025,LAC,W (+35),SAC,0,21:09,3,6,.500,0,1,.000,0,0,,2,3,5,5,0,0,0,2,6,8.0,+23
16,17,2012-12-03,33-027,LAC,W (+1),UTA,0,17:52,3,5,.600,0,0,,1,1,1.000,4,2,6,0,1,1,1,1,7,8.4,+8
17,18,2012-12-05,33-029,LAC,W (+22),DAL,0,23:43,2,7,.286,0,1,.000,0,0,,3,8,11,2,2,0,2,2,4,5.0,+8
18,19,2012-12-08,33-032,LAC,W (+18),PHO,0,20:36,4,8,.500,0,1,.000,0,0,,2,6,8,3,0,0,0,3,8,8.1,+9
19,20,2012-12-09,33-033,LAC,W (+19),TOR,0,20:56,2,6,.333,0,4,.000,0,0,,1,4,5,1,1,1,2,3,4,1.7,+18
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2012-12-11,33-035,LAC,W (+5),CHI,0,23:56,1,2,.500,0,0,,0,0,,0,5,5,1,1,0,1,1,2,2.8,+5
22,22,2012-12-12,33-036,LAC,W (+6),CHA,0,24:18,2,5,.400,0,0,,1,1,1.000,4,5,9,2,2,3,0,3,5,10.9,+4
23,23,2012-12-15,33-039,LAC,W (+26),MIL,0,22:31,4,5,.800,2,2,1.000,0,0,,1,4,5,1,0,1,0,2,10,10.6,+12
24,24,2012-12-17,33-041,LAC,W (+12),DET,0,28:41,2,4,.500,0,2,.000,2,2,1.000,3,8,11,2,0,2,1,3,6,9.1,+7
25,25,2012-12-19,33-043,LAC,W (+16),NOH,0,20:27,2,4,.500,0,2,.000,0,0,,1,5,6,2,0,0,0,2,4,4.8,+8
26,26,2012-12-21,33-045,LAC,W (+12),SAC,0,26:57,3,6,.500,0,3,.000,2,3,.667,1,8,9,3,0,3,0,4,8,10.3,+7
27,27,2012-12-23,33-047,LAC,W (+26),PHO,0,14:25,0,1,.000,0,0,,0,0,,0,3,3,1,0,1,1,2,0,-0.2,+32
28,28,2012-12-25,33-049,LAC,W (+12),DEN,0,30:26,3,7,.429,0,3,.000,0,0,,3,7,10,4,1,1,2,5,6,7.0,+9
29,29,2012-12-27,33-051,LAC,W (+29),BOS,0,29:00,2,6,.333,0,2,.000,0,0,,1,12,13,5,0,4,0,3,4,10.0,+19
30,30,2012-12-28,33-052,LAC,W (+2),UTA,0,14:12,1,1,1.000,1,1,1.000,0,2,.000,1,0,1,1,1,0,2,3,3,1.1,-5
31,31,2012-12-30,33-054,LAC,W (+11),UTA,0,25:03,0,5,.000,0,1,.000,0,0,,3,5,8,1,0,3,2,3,0,-0.3,-2
32,32,2013-01-01,33-056,LAC,L (-14),DEN,0,19:00,2,6,.333,0,2,.000,0,1,.000,0,8,8,1,1,1,1,3,4,2.8,-11
33,33,2013-01-02,33-057,LAC,L (-21),GSW,0,24:25,2,4,.500,0,0,,0,0,,1,8,9,4,2,1,1,2,4,8.8,+5
34,34,2013-01-04,33-059,LAC,W (+5),LAL,0,24:09,4,6,.667,1,1,1.000,0,0,,3,3,6,2,1,3,0,5,9,11.9,+7
35,35,2013-01-05,33-060,LAC,W (+26),GSW,0,17:00,2,5,.400,0,2,.000,0,0,,1,2,3,2,1,1,1,3,4,3.5,+7
36,36,2013-01-09,33-064,LAC,W (+6),DAL,0,27:08,2,5,.400,0,1,.000,0,0,,0,2,2,3,1,0,1,5,4,2.0,+8
37,37,2013-01-12,33-067,LAC,L (-3),ORL,0,26:35,3,5,.600,0,1,.000,0,0,,1,6,7,0,1,2,1,4,6,6.0,-6
38,38,2013-01-14,33-069,LAC,W (+26),MEM,0,32:34,2,8,.250,0,2,.000,2,2,1.000,0,7,7,3,0,1,1,3,6,3.9,+25
39,39,2013-01-15,33-070,LAC,W (+8),HOU,0,19:45,1,4,.250,0,1,.000,0,0,,4,7,11,2,1,0,2,5,2,2.9,-3
40,40,2013-01-17,33-072,LAC,W (+13),MIN,0,25:11,1,2,.500,0,0,,0,0,,1,11,12,6,1,1,1,3,2,8.7,+12
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,41,2013-01-19,33-074,LAC,W (+7),WAS,0,23:33,2,4,.500,0,0,,0,2,.000,5,5,10,1,2,1,1,4,4,7.0,+6
43,42,2013-01-21,33-076,LAC,L (-7),GSW,0,22:12,2,9,.222,0,0,,0,2,.000,2,6,8,4,0,0,1,3,4,1.5,-11
44,43,2013-01-22,33-077,LAC,L (-12),OKC,0,26:32,4,7,.571,0,1,.000,0,0,,2,5,7,1,0,0,1,3,8,6.1,-3
45,44,2013-01-24,33-079,LAC,L (-5),PHO,0,28:11,2,11,.182,0,0,,0,0,,4,7,11,4,0,0,1,3,4,2.6,-7
46,45,2013-01-26,33-081,LAC,L (-1),POR,0,18:31,3,6,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,4,6,1.1,-8
47,46,2013-01-27,33-082,LAC,W (+13),POR,0,28:58,4,7,.571,0,0,,0,1,.000,2,11,13,6,1,0,3,3,8,10.0,+16
