,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
69,67,2017-03-16,26-003,CLE,W (+8),UTA,1,28:16,1,4,.250,0,0,,0,2,.000,5,3,8,0,0,1,1,1,2,2.5,0
70,68,2017-03-18,26-005,CLE,L (-30),LAC,1,30:48,5,6,.833,0,0,,1,2,.500,3,3,6,0,1,0,0,2,11,11.6,-14
71,69,2017-03-19,26-006,CLE,W (+5),LAL,1,25:46,2,2,1.000,0,0,,0,0,,6,4,10,1,0,1,0,2,4,9.4,+4
72,70,2017-03-22,26-009,CLE,L (-13),DEN,1,27:26,3,4,.750,0,0,,0,0,,2,2,4,2,0,1,0,0,6,8.5,-7
73,71,2017-03-24,26-011,CLE,W (+7),CHO,1,26:34,3,4,.750,0,0,,2,2,1.000,2,5,7,0,0,0,0,3,8,8.1,+2
74,72,2017-03-25,26-012,CLE,L (-12),WAS,1,26:53,4,4,1.000,0,0,,1,2,.500,4,0,4,4,2,1,2,1,9,13.3,-15
75,73,2017-03-27,26-014,CLE,L (-29),SAS,1,26:01,4,5,.800,0,0,,3,4,.750,2,5,7,0,0,1,1,3,11,10.1,-29
76,74,2017-03-30,26-017,CLE,L (-6),CHI,1,35:49,7,10,.700,0,0,,1,3,.333,2,7,9,0,1,0,2,3,15,11.3,-5
77,75,2017-03-31,26-018,CLE,W (+17),PHI,1,29:24,3,7,.429,0,0,,1,2,.500,7,4,11,0,0,1,0,1,7,9.3,+17
78,76,2017-04-02,26-020,CLE,W (+5),IND,1,42:35,5,7,.714,0,0,,2,4,.500,5,4,9,0,1,0,2,4,12,10.4,-3
79,77,2017-04-04,26-022,CLE,W (+20),ORL,1,28:10,1,3,.333,0,0,,0,0,,1,2,3,1,0,1,0,2,2,2.2,+27
80,,2017-04-05,26-023,CLE,W (+23),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
81,,2017-04-07,26-025,CLE,L (-14),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
82,,2017-04-09,26-027,CLE,L (-1),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,2017-04-10,26-028,CLE,L (-3),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
85,78,2017-04-12,26-030,CLE,L (-15),TOR,1,18:28,5,6,.833,0,0,,0,2,.000,3,1,4,0,1,0,1,0,10,9.4,-17
0,1,2017-10-17,26-218,CLE,W (+3),BOS,0,19:36,2,3,.667,0,0,,1,3,.333,1,5,6,2,0,0,2,3,5,3.3,+5
1,2,2017-10-20,26-221,CLE,W (+19),MIL,0,24:28,4,6,.667,0,0,,0,0,,3,5,8,0,0,0,0,0,8,9.0,+16
2,3,2017-10-21,26-222,CLE,L (-21),ORL,0,25:35,2,4,.500,0,0,,0,0,,4,5,9,1,0,1,1,1,4,6.3,-21
3,4,2017-10-24,26-225,CLE,W (+7),CHI,1,23:59,2,3,.667,0,0,,1,2,.500,2,7,9,0,0,1,1,2,5,5.7,-4
4,5,2017-10-25,26-226,CLE,L (-5),BRK,1,22:36,1,1,1.000,0,0,,1,2,.500,2,6,8,0,1,0,1,2,3,4.7,-11
5,6,2017-10-28,26-229,CLE,L (-22),NOP,1,22:22,3,6,.500,0,0,,1,2,.500,2,2,4,0,0,0,0,3,7,4.4,-9
