,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
9,9,2016-11-12,20-013,PHO,L (-18),BRK,1,32:01,5,18,.278,0,4,.000,1,1,1.000,1,5,6,3,1,0,0,2,11,4.9,-12
10,10,2016-11-13,20-014,PHO,L (-13),GSW,1,32:15,6,18,.333,1,5,.200,6,6,1.000,1,3,4,3,2,1,1,1,19,13.8,-18
11,11,2016-11-16,20-017,PHO,L (-16),DEN,1,37:28,10,18,.556,2,3,.667,2,3,.667,1,3,4,2,1,0,4,4,24,13.4,-16
12,12,2016-11-18,20-019,PHO,W (+20),IND,1,22:51,4,11,.364,1,5,.200,4,4,1.000,0,1,1,3,1,0,1,3,13,8.1,+11
13,13,2016-11-19,20-020,PHO,L (-15),PHI,1,17:38,4,13,.308,0,2,.000,2,3,.667,0,1,1,0,2,0,5,0,10,-0.6,-18
14,14,2016-11-21,20-022,PHO,L (-5),WAS,1,36:58,12,26,.462,6,9,.667,0,0,,1,1,2,2,0,0,2,4,30,15.4,-17
15,15,2016-11-23,20-024,PHO,W (+5),ORL,1,33:57,4,10,.400,1,3,.333,2,2,1.000,0,3,3,1,2,1,1,4,11,7.3,+3
16,16,2016-11-25,20-026,PHO,L (-13),MIN,1,33:03,4,10,.400,1,3,.333,2,2,1.000,0,2,2,2,2,1,4,3,11,5.1,-12
17,17,2016-11-27,20-028,PHO,L (-6),DEN,1,35:43,11,27,.407,4,10,.400,4,5,.800,0,3,3,4,1,0,1,5,30,16.8,+14
18,18,2016-11-30,20-031,PHO,W (+2),ATL,1,32:32,5,13,.385,1,2,.500,2,6,.333,0,1,1,4,1,0,1,2,13,6.6,+2
19,19,2016-12-03,20-034,PHO,L (-29),GSW,1,32:36,8,17,.471,1,5,.200,4,5,.800,1,0,1,5,0,0,2,4,21,12.5,-5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2016-12-06,20-037,PHO,L (-7),UTA,1,26:08,9,13,.692,1,3,.333,2,3,.667,0,2,2,1,1,0,4,1,21,13.0,-25
22,21,2016-12-07,20-038,PHO,L (-15),IND,1,30:39,4,13,.308,2,6,.333,3,4,.750,1,2,3,5,1,0,4,5,13,4.9,-3
23,22,2016-12-09,20-040,PHO,W (+4),LAL,1,28:09,6,17,.353,1,6,.167,2,2,1.000,1,2,3,4,0,0,2,6,15,5.2,+11
24,23,2016-12-11,20-042,PHO,L (-1),NOP,1,38:11,6,15,.400,2,8,.250,2,3,.667,0,5,5,5,1,0,4,1,16,9.1,+7
25,24,2016-12-13,20-044,PHO,W (+2),NYK,1,35:45,3,16,.188,1,5,.200,5,5,1.000,0,1,1,0,0,1,1,2,12,1.2,+7
