,G,2015 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
80,6,2018-05-03,ECS,CLE,@,TOR,2,W (+18),0,15:10,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,+7
81,7,2018-05-05,ECS,CLE,,TOR,3,W (+2),0,13:31,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,0.6,-9
82,8,2018-05-07,ECS,CLE,,TOR,4,W (+35),0,13:48,2,3,.667,0,0,,1,1,1.000,2,0,2,2,0,0,0,1,5,6.1,-2
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9,2018-05-13,ECF,CLE,@,BOS,1,L (-25),0,20:43,4,6,.667,0,0,,0,0,,4,7,11,1,0,0,1,0,8,10.0,-12
85,10,2018-05-15,ECF,CLE,@,BOS,2,L (-13),1,29:39,4,6,.667,0,0,,0,0,,4,3,7,0,0,0,2,3,8,5.9,-5
86,11,2018-05-19,ECF,CLE,,BOS,3,W (+30),1,22:38,3,5,.600,0,0,,4,4,1.000,3,4,7,0,0,0,0,1,10,10.6,+22
87,12,2018-05-21,ECF,CLE,,BOS,4,W (+9),1,38:24,6,10,.600,0,0,,1,2,.500,2,10,12,2,1,2,1,1,13,14.8,+9
88,13,2018-05-23,ECF,CLE,@,BOS,5,L (-13),1,26:10,0,3,.000,0,1,.000,1,2,.500,1,5,6,1,0,0,0,2,1,0.6,-15
89,14,2018-05-25,ECF,CLE,,BOS,6,W (+10),1,22:42,1,2,.500,0,0,,0,0,,1,3,4,1,0,2,1,2,2,2.9,+4
90,15,2018-05-27,ECF,CLE,@,BOS,7,W (+8),1,34:51,4,4,1.000,0,0,,2,3,.667,1,8,9,1,0,0,0,1,10,11.8,+14
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,16,2018-05-31,FIN,CLE,@,GSW,1,L (-10),1,20:16,1,4,.250,0,0,,0,0,,2,3,5,0,0,1,1,3,2,0.4,-9
93,17,2018-06-03,FIN,CLE,@,GSW,2,L (-19),1,23:19,5,8,.625,0,0,,1,2,.500,3,2,5,0,0,0,0,2,11,8.9,-1
94,18,2018-06-06,FIN,CLE,,GSW,3,L (-8),1,33:46,4,8,.500,0,0,,0,1,.000,1,6,7,0,0,1,0,2,8,6.0,-2
95,19,2018-06-08,FIN,CLE,,GSW,4,L (-23),1,16:12,3,5,.600,0,0,,0,0,,2,2,4,0,0,1,0,0,6,6.4,-21
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,2021-05-22,EC1,BOS,@,BRK,1,L (-11),1,24:50,2,4,.500,0,0,,0,1,.000,5,5,10,2,2,1,1,0,4,9.7,-16
98,2,2021-05-25,EC1,BOS,@,BRK,2,L (-22),1,24:36,7,9,.778,0,0,,1,2,.500,8,3,11,0,0,1,2,3,15,15.1,-23
99,3,2021-05-28,EC1,BOS,,BRK,3,W (+6),1,30:28,8,13,.615,0,0,,3,4,.750,9,4,13,1,0,0,2,2,19,18.1,-16
100,4,2021-05-30,EC1,BOS,,BRK,4,L (-15),1,22:30,2,4,.500,0,0,,1,2,.500,3,3,6,1,2,0,0,4,5,6.7,-15
101,5,2021-06-01,EC1,BOS,@,BRK,5,L (-14),1,29:50,1,4,.250,0,0,,7,8,.875,4,5,9,1,0,4,0,3,9,12.8,-17
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,2022-04-17,EC1,CHI,@,MIL,1,L (-7),0,7:25,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,2.4,-4
104,2,2022-04-20,EC1,CHI,@,MIL,2,W (+4),0,7:15,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,0,1,0,0.8,-4
105,3,2022-04-22,EC1,CHI,,MIL,3,L (-30),0,11:32,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,2,1,2,-0.7,-16
106,4,2022-04-24,EC1,CHI,,MIL,4,L (-24),0,5:17,0,0,,0,0,,0,0,,0,1,1,1,0,0,3,2,0,-2.8,-7
107,5,2022-04-27,EC1,CHI,@,MIL,5,L (-16),0,6:44,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+1
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,2023-04-16,,LAL,@,MEM,,W (+16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
110,,2023-04-19,,LAL,@,MEM,,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
111,,2023-04-22,,LAL,,MEM,,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
112,,2023-04-24,,LAL,,MEM,,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
113,,2023-04-26,,LAL,@,MEM,,L (-17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
114,,2023-04-28,,LAL,,MEM,,W (+40),Did Not Play,,,,,,,,,,,,,,,,,,,,,
115,,2023-05-02,,LAL,@,GSW,,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
116,1,2023-05-04,WCS,LAL,@,GSW,2,L (-27),0,12:00,2,4,.500,0,0,,1,4,.250,1,3,4,2,0,0,0,1,5,4.4,+3
