,g,date,age,tm,,opp,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
51,,2022-01-31,25-195,PHI,W (+3),MEM,Inactive,,,,,,,,,,,,,,,,,,,,,
52,,2022-02-02,25-197,PHI,L (-3),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
53,,2022-02-04,25-199,PHI,L (-9),DAL,Inactive,,,,,,,,,,,,,,,,,,,,,
54,,2022-02-06,25-201,PHI,W (+11),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
55,,2022-02-08,25-203,PHI,L (-5),PHO,Inactive,,,,,,,,,,,,,,,,,,,,,
56,,2022-02-12,25-207,BRK,L (-4),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
57,,2022-02-14,25-209,BRK,W (+24),SAC,Inactive,,,,,,,,,,,,,,,,,,,,,
58,,2022-02-16,25-211,BRK,W (+5),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
59,,2022-02-17,25-212,BRK,L (-14),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
60,,2022-02-24,25-219,BRK,L (-23),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
61,,2022-02-26,25-221,BRK,W (+3),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,2022-02-28,25-223,BRK,L (-36),TOR,Inactive,,,,,,,,,,,,,,,,,,,,,
64,,2022-03-01,25-224,BRK,L (-1),TOR,Inactive,,,,,,,,,,,,,,,,,,,,,
65,,2022-03-03,25-226,BRK,L (-6),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
66,,2022-03-06,25-229,BRK,L (-6),BOS,Inactive,,,,,,,,,,,,,,,,,,,,,
67,,2022-03-08,25-231,BRK,W (+11),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
68,,2022-03-10,25-233,BRK,W (+29),PHI,Inactive,,,,,,,,,,,,,,,,,,,,,
69,,2022-03-13,25-236,BRK,W (+3),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
70,,2022-03-15,25-238,BRK,W (+42),ORL,Inactive,,,,,,,,,,,,,,,,,,,,,
71,,2022-03-16,25-239,BRK,L (-2),DAL,Inactive,,,,,,,,,,,,,,,,,,,,,
72,,2022-03-18,25-241,BRK,W (+5),POR,Inactive,,,,,,,,,,,,,,,,,,,,,
73,,2022-03-21,25-244,BRK,W (+8),UTA,Inactive,,,,,,,,,,,,,,,,,,,,,
74,,2022-03-23,25-246,BRK,L (-12),MEM,Inactive,,,,,,,,,,,,,,,,,,,,,
75,,2022-03-26,25-249,BRK,W (+15),MIA,Inactive,,,,,,,,,,,,,,,,,,,,,
76,,2022-03-27,25-250,BRK,L (-9),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
77,,2022-03-29,25-252,BRK,W (+7),DET,Inactive,,,,,,,,,,,,,,,,,,,,,
78,,2022-03-31,25-254,BRK,L (-1),MIL,Inactive,,,,,,,,,,,,,,,,,,,,,
79,,2022-04-02,25-256,BRK,L (-7),ATL,Inactive,,,,,,,,,,,,,,,,,,,,,
80,,2022-04-05,25-259,BRK,W (+13),HOU,Inactive,,,,,,,,,,,,,,,,,,,,,
81,,2022-04-06,25-260,BRK,W (+12),NYK,Inactive,,,,,,,,,,,,,,,,,,,,,
82,,2022-04-08,25-262,BRK,W (+11),CLE,Inactive,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,2022-04-10,25-264,BRK,W (+8),IND,Inactive,,,,,,,,,,,,,,,,,,,,,
0,1,2022-10-19,26-091,BRK,L (-22),NOP,1,23:10,2,3,.667,0,0,,0,2,.000,0,5,5,5,0,0,3,6,4,1.5,-26
1,2,2022-10-21,26-093,BRK,W (+4),TOR,1,32:29,3,5,.600,0,0,,0,0,,0,10,10,8,0,2,3,2,6,9.9,-3
2,3,2022-10-24,26-096,BRK,L (-10),MEM,1,28:07,2,5,.400,0,1,.000,3,5,.600,0,3,3,8,1,0,5,6,7,3.6,-16
3,4,2022-10-26,26-098,BRK,L (-11),MIL,1,34:28,2,7,.286,0,0,,0,2,.000,1,4,5,9,2,1,2,4,4,6.4,+2
4,5,2022-10-27,26-099,BRK,L (-4),DAL,1,37:06,3,7,.429,0,0,,1,1,1.000,3,5,8,5,3,0,1,4,7,10.8,+1
5,6,2022-10-29,26-101,BRK,L (-9),IND,1,35:42,3,7,.429,0,0,,3,5,.600,2,6,8,9,1,1,2,4,9,12.1,-11
6,,2022-10-31,26-103,BRK,W (+7),IND,Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2022-11-01,26-104,BRK,L (-9),CHI,Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2022-11-04,26-107,BRK,W (+42),WAS,Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2022-11-05,26-108,BRK,W (+4),CHO,Inactive,,,,,,,,,,,,,,,,,,,,,
10,7,2022-11-07,26-110,BRK,L (-2),DAL,0,15:56,1,3,.333,0,0,,0,0,,1,2,3,2,1,0,2,3,2,0.8,-7
11,8,2022-11-09,26-112,BRK,W (+27),NYK,0,23:53,3,6,.500,0,0,,0,0,,2,7,9,4,2,1,2,4,6,8.4,+18
12,9,2022-11-12,26-115,BRK,W (+15),LAC,0,14:28,1,2,.500,0,0,,0,0,,1,4,5,3,0,0,0,4,2,3.4,-1
13,,2022-11-13,26-116,BRK,L (-13),LAL,Did Not Dress,,,,,,,,,,,,,,,,,,,,,
